Pseudo;Contribution;Sujet;Consultation
Laurent;"Pour certains projets de lois il semble necessaire de consulter sur des questions importantes  les citoyens par voie numérique mais aussi sur le terrain.
Les habitants d'une commune consultés sur un marché, dans une rue ou au travers d'ateliers thématiques apprécient d'être associés et impliqués au travail de l'Assemblée Nationale.
Les députés doivent dans ce cadre disposer de moyens suffisants pour réaliser ce type d'action (humain,financier et technique). Des groupes de bénévoles peuvent également renforcer ce type de travail.
Au final ces actions réalisées suffisamment tôt pourraient déboucher sur des amendements dits 'citoyens'. ";"Démocratie Participative.";"Le statut des députés et leurs moyens de travail "
Cciub;" 
Il semble incompréhensible de voir certains jours une assemblé vide. 
Et des lois voté par un nombre si peu representatifs de députés.

Il semble claire que le deputé peut avoir du travail à l'exterieur de l'assemblée, des representations, des evenements. 
En revanche, nous avons tous vu des affiches durant les legislatives représentant le futur député AVEC son suupléant. Alors il serait util de le voir joué son rôle.

Deux idées donc pour lutter contre se fléau.

- empecher le vote d'une loi/amendement si un certains nombre de députés ne sont pas présent. Par exemple au minimum 60%
- Mettre en place des pénalités dissuasives en cas de plus de 2 abscence non justifiée d'un motif valable (!!!!!) ( inauguré la salle des fêtes d'un village dans sa circonscription pourquoi pas, mais le suppléant peut representer son député en cicro ou a l'assemblée pendant que celui ci fais l'autre!!!!!!) 
- 
";" Penalité abscence non justifié ";"Le statut des députés et leurs moyens de travail "
thib92240;"1. Conserver le nombre de députés à 577, voire même l'augmenter pour assurer une représentativité correcte de la population (1 député pour plus de 110.000 français paraît faible)
2. Pas de cumul des mandats
3. Lutter contre l'absentéisme parlementaire en donnant aux citoyens la possibilité de contraindre la présence de son/sa député.e lorsqu'une loi ou un amendement leur paraît important et requiert sa présence.
4. Réinvestir les citoyens dans les débats parlementaires : instaurer des débats citoyens (dans le cadre parlementaire, ou en dehors [à l'échelle de la commune ?]) et faire remonter l'issue de ce débat démocratique aux députés.
5. Réduire la durée des mandats parlementaires pour qu'il y ait plus d'une assemblée par mandat présidentiel.
6. Plus de transparence
";"Évolution du statut constitutionnel des députés";"Le statut des députés et leurs moyens de travail "
"Olivier P.";"- Réduire le nombre de députés et passer à la proportionnelle avec un vote par liste départementales ou régionale.
- Laisser lle travail local aux sénateurs, c'est leur rôle, pas celui d'un député, cela leur laissera du temps pour faire leur vrai travail : voter et préparer les lois et contrôler l'action du gouvernement, et c'est tout.
- Supprimer les remboursements des frais de local de permanence, de frais de représentation en circonscription, ce n'est pas le rôle des députés.
- Avec les économies réalisées, augmenter considérablement l'enveloppe ""collaborateurs"" et la contrôler afin de permettre aux députés de pouvoir avoir des collaborateurs chevronnés et plus uniquement des juniors
";"Statut du député";"Le statut des députés et leurs moyens de travail "
"Nicolas ";"Il est important de lutter contre l'absentéisme. Nous,simples citoyens, ne comprenons pas pourquoi des personnes qui se sont parfois battues pour être élues,désertent les bancs de l'Assemblée ?
Personnellement,si je vais pas au travail parce que je n'en ai pas envie, je suis sanctionné ?
Je suis parfaitement conscient qu'à certains moments, il y a des groupes de travail,des commissions mais pas tout le temps.

Le Sénat doit disparaître. Pas du jour au lendemain bien évidemment mais aujourd'hui à quoi sert il ? Il nous coûte cher et créé encore plus d'incompréhension. Nous sommes un des rares pays à fonctionner avec autant d'instances. Au lieu de renforcer la démocratie et la transparence, le bicamerisme ne fait qu'assombrir les liens entre les élus et les citoyens qui ne comprennent pas tout.

Multiplier les concertations et les consultations citoyennes. Je salue cette initiative de François de Rugy. Ici en Gironde, Bérangère Couillard et Éric Pouillat ont organisé une réunion publique pour parler de leur rôle et surtout du statut de député. Échanges très constructifs. Il faut encourager ce genre d'actions, c'est cela que nous voulons !";"Ma maigre contribution...";"Le statut des députés et leurs moyens de travail "
sharon;"Bonjour, 
sachant que les lois sont discutées avant présentation, est ce possible d'avoir une mise en ligne :  des comptes rendus des débats en commission, ?
les résumés des rapporteurs ? avec notamment une annexe mentionnant les propositions rejetés ?
en vous remerciant
Sharon";"LES COMPTES RENDUS DES RAPPORTEURS";"Le statut des députés et leurs moyens de travail "
jag;"OK ils sont très nombreux, mais s'ils font bien leur travail de parlementaire c'est à dire écouter et relayer les désirs des citoyens de base pour des projets de justice et d'égalité pour tous les Français.
Les attachés parlementaires (homme ou femme) doivent faire une formation et être déclaré comme tout autre travailleur. C'est une question de transparence pour éviter les errements du passé...
Vous avez supprimé la réserve parlementaire, c'est une bonne chose, car même si notre dernier député publiait à quoi elle servait, c'est quand même une façon de ""s'acheter"" l'électorat.
Les frais des parlementaires doivent être réglées dans la transparence, même si pour les petites sommes il peut y avoir un forfait global.";"Statut des Députés";"Le statut des députés et leurs moyens de travail "
Mouleyret;"Les lois s'ajoutent aux lois précédentes, dans une absence de clarté:
-- Termes abscons
-- renvois à des lois précédentes;
-- succession de principes et d'exceptions
- (Voir la loi PLFSS 2018)
- 
- Conclusion:
-1- Il faudrait que chaque loi supprime la loi correspondante précédente, afin de réécrire les règles;
- 2- Mieux évaluer l'impact de chaque disposition (exemple l'impact de l'augmentation de la CSG sur les retraités n'a pas été effectué)
- 3- Rechercher des règles simples

";"Simplifier et réduire les lois";"Le statut des députés et leurs moyens de travail "
Mattt;"Je pense qu'à 5 sénateurs par région avec un droit de véto à l'assemblée nationale serait judicieux et une assemblée nationale avec des commissions ou l'assiduité est obligatoire serait un progrès. Ensuite le troisième homme, le peuple,pourrait être consulté plus souvent";"Faut il tant de représentant de l'état ?";"Le statut des députés et leurs moyens de travail "
Mattt;"Je pense que des mises en situation lors des discussions en commission et un déplacement de l'Assemblée nationale hors du tumulte Parisien serait une décentralisation que les Français attendent. l'Assemblée nationale actuelle deviendrait un lieu de consultation du peuple ,une sorte de forum romain ou tout le monde pourrait poser des questions au gouvernement.";"Arrêter le monopole de Paris.";"Le statut des députés et leurs moyens de travail "
Mattt;"Je pense que si le président le souhaite il devrait pouvoir défendre ses lois devant l'Assemblée nationale";"Intervention du président à l'assemblée nationale";"Le statut des députés et leurs moyens de travail "
Mattt;"Je pense que les différents codes sont en fouillis. Les digitalisé en les simplifiant et en les rendant plus concis,les ouvrants ainsi aux plus grands nombres serait un progrès";"À quand des codes digitalisé";"Le statut des députés et leurs moyens de travail "
Mattt;"Je pense que les lois devrait être mieux préparées et annoncées bien en amont pour en faciliter les débats et ainsi en diminuer le temps de promulgation et de préparation";"Duré de promulgation des lois";"Le statut des députés et leurs moyens de travail "
Mattt;"Je pense que chaque président de commission devrait avoir à une heure de grande écoute du temps pour expliquer sa loi sans être attaqué par les journalistes sur la politique politicienne de chaque partie";"Débats médiatique des lois";"Le statut des députés et leurs moyens de travail "
Mattt;"Les syndicats Français ne sont pas assez fort et devrait être directement écouté à et par l'Assemblée nationale";"Consultation des syndicats lors des débats";"Le statut des députés et leurs moyens de travail "
Alexis68;"Pour permettre aux citoyens de se sentir plus écoutés, il faudrait instaurer l'obligation aux parlementaires de travailler sur un sujet proposé par au moins 500 000 citoyens. 

";"Lien citoyens/parlement";"Le statut des députés et leurs moyens de travail "
Alexis68;"Afin de rendre le sujet moins complexe et plus intéressant pour les citoyens, il faudrait que les nouvelles lois votées soient moins nombreuses et non répétitives  (il faut pour cela une commission qui examinerait l'ensemble des lois).";"Législation ";"Le statut des députés et leurs moyens de travail "
JulienST-N;"Il serait intéressant de se pencher sur le statut et le rôle réel du suppléant. En effet, il est difficilement compréhensible que le suppléant ne puisse pas ""suppléer"" le Député en cas d'absence ponctuelle, et cela, que ce soit pour un Vote à l'Assemblée Narionale ou pour une représentation sur un événement type Réunion ou inauguration etc.

En effet, les électeurs élisent leurs députés sur la base d'un binôme dont l'utilité finale semble plus etre une astuce pour afficher la parité devant l'électeur mais rien de plus. Ce système conduit parfois à des constituons de binômes avec des ""Hommes de paille"" alors qu'on attendrait plutot des Hommes et des Femmes de qualités pour affronter cette dure mission que doit être l'écriture de la loi.
";"Statut/Rôle du suppléant d'un(e) Député(e)";"Le statut des députés et leurs moyens de travail "
Tristan;"Il serait judicieux de limiter le nombre de députés, mais également de sénateurs, ainsi que baisser leur revenus.

Le pays souffre, et souffre d'une dette publique immense. 
Nous avons besoin d'une baisse des dépenses liées au fonctionnement de l'état.

On ne peut pas demander au citoyen de constants effort ( nous avons les impôts les plus hauts d 'Europe) tout en ayant ceux qui décident des-dits impôts et efforts  non-affectés car leurs revenus leurs permettent un train de vie luxueux en comparaison.
Francais expatrié en Norvège, je vous invite a vous inspirer de ce que fait ce pays : http://www.dailymotion.com/video/xd6p4f 

 ";"Rémuneration et nombre de députés et sénateurs";"Le statut des députés et leurs moyens de travail "
Tristan;"Je souhaiterais qu'une proposition citoyenne soit examinée si elle recoit suffisamment de votes par le peuple.
Par exemple, si 10 000 (ou 100 000, je ne sais pas) personnes votent pour un projet pour l'instauration de surveillance video dans les abattoirs, ce projet devrait être discuté.
 ";"Contributions citoyennes";"Le statut des députés et leurs moyens de travail "
isablu;"au temps des réseaux sociaux, il me semble plus que justifié d'utiliser l'outil numérique pour impliquer les citoyens dans la gestion des lois... en particulier demander l'avis des citoyens sur la pertinence de tel ou tel projet de loi... ou de la simplification d'un certain nombre d'entre elles... par exemple !!!";"démocratie numérique ";"Le statut des députés et leurs moyens de travail "
INDZALIO;"Madame, Monsieur,

Pour être plus efficace, l'Assemblée Nationale devrait avoir une communication basée sur le partage et la consultation de façon hebdomadaire.
A ce sujet : 
Le député de la circonscription d'une ville aurait pour mission de communiquer avec les citoyens de celle-ci et de l'informer sur les projets en cours d'une part puis de répondre à nos questions d'autre part. 

Ils sont élu(es) et puis après, plus rien. Soyons unis pour redonner à la France sa compétitivité. 

";"COMMUNICATION AVEC LES DEPUTES ET SENATEURS";"Le statut des députés et leurs moyens de travail "
oliv;"Bravo pour cette initiative.
J'attends de notre assemblée nationale qu'elle soit exemplaire. Cela veut dire que les députées doivent être alignés en terme de retraite et de fiscalité sur le régime général, grandes réformes en préparation.
Pour leur gestions des indemnités, un alignement sur le régime des indépendants ou même une validation par expert comptable remettra une dose de confiance là ou le doute a pu s'installer.
Enfin, dans l'action, vu l'empilement des lois et le blocage dû à la complication des différentes législations, il y a nécessité de ne plus empiler mais de supprimer ou simplifier des lois à l'occasion de chaque projet de loi.
Il y a lieu de demander à ce que chaque texte annule ou remplace un ou des textes précédents. C'est un gros travail mais c'est indispensable pour débloquer notre système.
Je vois souhaite bon courage car du courage et de la volonté il en faut pour arriver à remettre en place ce qui n'a pas été fait depuis 30 ans.";Exemplarité;"Le statut des députés et leurs moyens de travail "
"laurence    merci de mentionner mon pseudo  ";" On remercie le président de l' Assemblée  pour cette excellente consultation .il serait souhaitable pour renouer la confiance des citoyens que nos députés soient élus de 18 à 65 ans un mandat renouvelable une fois avec un réel statut de l' élu .Les attachés parlementaires devraient être rémunérés par l' Assemblée. Le rôle du suppléant ( élection d' un binôme) devrait être effectif par exemple dans des représentations aux manifestations locales. Le député devrait rendre compte une fois par an par une réunion publique dans sa circonscription de son travail parlementaire et des lois qui ont été votées.
La possibilité qu' une pétition qui recueille un certain nombre  de signatures 500 000? puisse être un projet de loi examiné par la chambre  des députés .
il y a le problème qui sera peut-être jugé inapproprié je m' en excuse mais qui me tient à coeur le problème du contrôle de l' application des lois . Je prendrais comment exemple une loi qui concerne un million de personnes la loi de 2007 complétée depuis relative aux majeurs protégés .Afin d' éviter des conflits humains très pénibles pour les familles quelques députés référents pourraient examiner les dysfonctionnements liés à la non application de la loi suite aux courriers des proches .je souhaite un excellent mandat à Mr le Président de l' assemblée ainsi qu' à tous nos député(e)s .";consultation;"Le statut des députés et leurs moyens de travail "
"MKaramanli ";"Madame, Monsieur, 

Vous voudrez bien trouver ci-dessous les observations et suggestions de Marietta Karamanli, députée de la 2ème circonscription de la Sarthe, concernant le statut des députés.


**Sur l'information des Député-e-s et leur statut**

Les députés devraient au moment de leur prise de fonction et au long de leur mandat être informés et formés pour la gestion d'une équipe avec des collaborateurs ; définition de leurs besoins ; nature des missions ; échelle des rémunérations ; conditions légales et infractions au code du travail et à l'utilisation des fonds publics ; des grilles de références pourraient être envisagées prenant en compte les tâches les plus courantes, le niveau de qualification, les compétences acquises, l'évolution des carrières ; évoquant la traçabilité des tâches et missions...Informer est la 1ère condition pour que les députés ne mésusent pas des facilités matérielles mises à leur disposition. Peut- on faire signer un engagement clair à chaque député-e sur la définition des tâches et l'effectivité des missions? Ce serait un pas...

**Sur l'IRFM**

Sur l'utilisation de ces indemnités représentatives de frais, l'idée est de garantir la fiabilité des états financiers de chaque député-e et de donner à l'Assemblée une assurance raisonnable que le « compte général » de chaque député-e est exempt d'anomalies significatives ; cela en maintenant  la liberté de choix du député : « si je veux acheter un ouvrage de droit constitutionnel déjà présent à l'Assemblée Nationale j'en garde l'opportunité »...Des charges en nature supportées sur les deniers personnels de l'élue-e pourraient aussi être rattachées et expliquées... 

1) S'agissant des frais de déplacement éligibles, n'est évoquée que la possibilité d'une location-vente avec option d'achat pour un véhicule automobile.
Est-ce que la possibilité d'achat pour la valeur résiduelle peut être prise en charge si la continuité de location coûte au final plus cher sur la durée restante du mandat ?
Est ce que l'achat pour partie par un apport personnel du véhicule est possible si l'utilisation est mixte et réduit de façon objective le coût d'utilisation par rapport à une location?
Concernant toujours l'utilisation d'un véhicule, il est fait mention d'un calcul sur la base de frais kilométriques calculés selon le barème de la Direction Générale des Impôts, est ce que les frais de péage et de stationnement peuvent être pris comme frais réels (l'identification des charges d'amortissement renouvellement, maintenance, utilisation, assurance d'un véhicule sont à partager de façon proportionnelle car représentant une part de l'utilisation)...il en va différemment de pour ce qui peut être objectivé.
Enfin concernant les frais de permanence si le local de permanence est mis à disposition par le député comme propriétaire directement ou pour partie via une SCI, faut-il qu'il soit fait un contrat de location qu'il soit à titre gratuit ou payant ?
Sur ces questions, l'avis d'un seul-e personne n'ayant pas de connaissances particulières dans le domaine de ce qui est le plus économique ou fiscalement acceptable au regard d'autres professions mériterait que ce soit plutôt une décision prise par un « collège » compétent qui le fasse (par exemple un professeur de droit, un expert en fiscalité et un experts en achat « public » qui aiderait à fixer les contours de ce qui est économique et acceptable). 

2) Concernant les enveloppes de frais de fonctionnement gérées en direct par l'Assemblée Nationale, elles ne sont pas toutes fongibles ou plus exactement la fongibilité ne s'exerce pas vers l'enveloppe « courrier » alors même que c'est probablement une des plus essentielles (informer, communiquer, inviter...).  Il conviendrait de faire évoluer le dispositif.
Enfin en matière de transports, la mise en concurrence des diverses compagnies d'aviations permettrait possiblement de faire des économies !
Plusieurs autres petites observations sur les conditions de travail des député-e-s

Les documents budgétaires (données chiffrées)  ne sont jamais mis à disposition sous un format en permettant l'exploitation directe par le député sauf ressaisie longue et aléatoire ; il serait bien de mettre à disposition ces data sous forme de série avec un  format utilisable (par nous et les citoyens).
Sur les questions écrites, si le nombre en a été diminué, souvent la réponse n'est tout simplement pas adaptée et un texte général vaut réponse à une demande circonstanciée...la simple utilisation de mots clefs du texte de la question et de la réponse devrait permettre de vérifier cette adéquation.
Sur les documents mis à disposition bien souvent ceux-ci ne sont pas mis en ligne avant la réunion qui est censée les examiner, un effort devrait être fait et une mesure de cette disponibilité réalisée.

Sur l'exercice même du mandat et les moyens de contrôle
Il conviendrait aussi de rappeler que la séparation des pouvoirs et l'indépendance du législatif y compris vis-à-vis de l'exécutif est et reste un principe constitutionnel moderne et adapté à maintenir l'équilibre des pouvoirs ...
Il serait bon d'envisager de doter l'assemblée nationale d'un véritable service d'audit et d'évaluation des politiques publiques à l'instar du NAO (National Audit Office)  au Royaume Uni...( sur le site du NAO  on peut lire « Our recommendations and reports help government improve public services, and our work led to audited savings of £1.21 billion in 2015 »... « this is the highest level of financial savings to date for the taxpayer, and is equivalent to £19 saved for every pound spent ».

Lors de la réforme des juridictions financières en 2010 j'avais noté que les moyens, tels que décrits par l'étude d'impact jointe au projet, étaient marqués par une diminution du nombre de magistrats et un nombre très limité de personnels affectés aux missions d'évaluation des politiques publiques alors même qu'au Royaume Uni un organisme ayant cette mission employait alors plus de 800 personnes.
Peut-être pourrait-on envisager de faire appel en tant que de besoin aux inspections générales de l'Etat dans le cadre de missions dédiées aux seuls besoins du Parlement ?

D'un Parlement et d'élus, vus comme dépensiers nous pourrions avoir l'objectif d'un parlement contrôleur efficace et générateur d'économies et / ou de réaffectation au bénéfice du plus grand de la dépense publique.
";"Statut des députés et moyens ";"Le statut des députés et leurs moyens de travail "
"Regards Citoyens";"Depuis la loi CADA de 1978, les citoyens disposent d'un droit d'accès aux documents administratifs produits et reçus par les administrations centrales et territoriales. Ce droit a été reconnu comme une liberté publique, ayant donc une valeur constitutionnelle par la jurisprudence (décision du [Conseil d'État n° 228830 du 29 avril 2002](https://www.legifrance.gouv.fr/affichJuriAdmin.do?idTexte=CETATEXT000008112306&) et décision du [Conseil constitutionnel n°2014-5 LOM du 23 octobre 2014](http://www.conseil-constitutionnel.fr/conseil-constitutionnel/francais/les-decisions/acces-par-date/decisions-depuis-1959/2014/2014-5-lom/decision-n-2014-5-lom-du-23-octobre-2014.142541.html?)). Le droit européen à travers les directives sur l'information publique de 2003 et 2013 a également créé un socle européen garantissant aux citoyens la réutilisation des documents publics ainsi que des voies de recours.

Si les parlements ont fortement investi dans des processus d'Open Data, la France n'a que partiellement transcrit les directives européennes. En effet s'agissant des documents produits ou reçus par les administrations parlementaires, aucun droit d'accès ni de réutilisation de ces informations n'est garanti et aucune voie de recours n'a été prévue par le législateur. La loi renvoie à l'[ordonnance de 1958](https://www.legifrance.gouv.fr/affichTexteArticle.do;jsessionid=A48AF53361594ADB7BD5DB1634ACB969.tplgfr31s_1?idArticle=LEGIARTI000006530059&cidTexte=LEGITEXT000006069203&dateTexte=20171023&) l'organisation de ces dispositions sans que cette dernière aie été modifiée afin de garantir de tels droits.

Il convient donc de :
- compléter le droit français afin de garantir un droit d'accès et de réutilisation des documents produits par le Parlement et son administration ;
- faire entrer la jurisprudence constitutionnelle du droit d'accès et de réutilisation des documents publics dans la Constitution.";"Droit d'accès aux docs administratifs du Parlement";"Le statut des députés et leurs moyens de travail "
"Regards Citoyens";"Le déontologue est la personne en charge du bon fonctionnement déontologique au sein de l'Assemblée. Il conseille les parlementaires et est régulièrement chargé par le Bureau de thèmes déontologiques. Les précédents déontologues se sont notamment penchés sur la problématiques des colloques ou la déontologie des collaborateurs parlementaires.

En revanche, le déontologue n'est pas tenu de répondre aux sollicitations des journalistes ou aux interpellations par voie de presse sur des cas particuliers. Il serait de bonne gouvernance que le droit parlementaire prévoie des modalités de saisine par des citoyens ou des journalistes afin qu'il se penche sur une situation ou un thème particulier.

En effet, jusqu'ici les déontologues ont très peu participé aux grands thèmes qui ont fait débat en matière déontologique ces dernières années. Offrir un mécanisme de saisine citoyenne permettra de renforcer le statut du déontologue et la place de la déontologie au sein de l'Assemblée nationale.";"Permettre une saisine citoyenne du déontologue";"Le statut des députés et leurs moyens de travail "
CL;"Bonjour,
il me paraitrait intéressant d'étudier le possibilité de la mise en place d'une révocabilité du député pour le cas où celui-ci aurait manifestement contrevenu à certaines de ses prérogatives. Il semble assez incompréhensible qu'un député puisse conserver son siège malgré un manquement reconnu à la législation.
Que le député puisse être assuré de son siège sans craindre des ""coups politiques"" semble couler de source. Que la séparation des pouvoirs soit maintenue également. Mais que cet avantage lui permette de siéger ""malgré cela"" peut donner l'impression que seuls les suffrages sont souverains. Or, la loi ou même la déontologie peuvent et devrait avoir leur mot à dire.
L'hypothèse que le conseil constitutionnel pourrait être partie prenante de ce dispositif révocatoire me semble être une idée à approfondir.
Je vous remercie de bien vouloir étudier cette question.";Révocabilité;"Le statut des députés et leurs moyens de travail "
CL;"Bonjour, 
La loi pour la confiance dans la vie politique n'a pas retenu la condition de la présentation d'un casier judiciaire vierge pour déposer sa candidature aux élections législatives. Je vous demande donc que soit étudiée la possibilité d'inscrire sur le code électoral la demande de la production d'un casier judiciaire B2 vierge comme condition nécessaire pour pouvoir candidater à cette élection.
La possibilité de condamner un contrevenant à une peine d'inéligibilité est une sanction pénale et ne peut être qu'individuelle.
La nécessité de produire un casier judiciaire vierge peut être une condition, comme cela est le cas pour bon nombre de métier, et c'est une règle forcément générale.
Merci donc d'entendre qu'il est attendu que nos représentants soient des personnes respectueuses de la Loi. Il semble normal que le droit d'écrire et de voter les lois ne soit accordé qu'à ceux qui les respectent. ";"Casier judiciaire vierge";"Le statut des députés et leurs moyens de travail "
"kalinka ";"Madame , Monsieur , 
 Les citoyens doivent être  ,à mon avis ,associés à l'élaboration de la loi  .Pour ce faire ,je propose :
1 ) d'instaurer  la possibilité pour ces derniers  de  faire  une  proposition  de loi au moyen , par exemple ,d 'une  pétition signée par  500 000 personnes avec l'obligation pour le parlement de l'examiner  .
2 ) de  leur permettre  de déposer via internet des amendements sur un texte qui devront être étudiés  par les  parlementaires .
3 ) d'obliger le député à rendre  compte aux citoyens de  son action    en cours de mandat  via internet ou lors de réunions en circonscription  afin de leur  permettre de faire des propositions et de donner leur avis  sur les  textes venant au parlement    . 
Vous remerciant pour la mise en place de cette contribution , je vous prie   d'agréer , Madame , Monsieur , l'expression de mes salutations distinguées .
";"associer les citoyens à la procédure législative";"Le statut des députés et leurs moyens de travail "
kalinka;"Madame , Monsieur , 
 Pour ce  qui concerne le statut de député , je propose :
1 ) en ce qui concerne l'élection:
a) d'instaurer l'obligation d '  avoir   un casier judiciaire vierge pour se présenter à une élection .
b )  d'invalider   l'élection d'un candidat aux législatives et d'ailleurs à toutes  les autres élections  s'il n'a pas réuni 50% des voix des inscrits  ( avec la prise  en compte du vote blanc et nul )  et en cas  de dépassement du  plafond du compte de campagne  . En effet ,   le candidat sera amené à effectuer des arbitrages budgétaires . Or , il ne sera pas en mesure de  le faire correctement  s'il commence déjà par dépasser le budget alloué .
 2 )en ce qui concerne  l'exercice du mandat  : 
a)  d' obliger les députés à être présents  lors des  séances avec des sanctions en cas d'absence injustifiée  . 
b) de considérer un texte comme non adopté lorsque + de  50% des députés ou autres élus sont absents .
c )  d'interdire tout cumul de mandat .
 d ) d'édicter la règle de l'incompatibilité de la fonction de député  avec  la qualité de  fonctionnaire ( y compris le détachement et  la mise en disponibilité )  ,avec  un emploi ou  l'exercice d' une activité  dans un organisme chargé d'une mission de service public ou dans une entreprise publique , avec la fonction de membre du gouvernement (y compris pour le député suppléant  car il s'agit d'une atteinte à la séparation des pouvoirs ) .
e) d' instituer  la règle du déport obligatoire pour le député et tous les autres élus ayant une autre activité  lorsque le texte à voter ou la décision à prendre concerne   ledit secteur .
f)  pour l'indemnité de représentation et de frais  : de plafonner  les frais d'hôtel et  de préconiser l'utilisation ,en priorité , des transports en commun .
g )  d'utiliser le crédit collaborateur  exclusivement  pour la rémunération des collaborateurs et assistants avec un contrôle . 
h)  d'obliger le député à rendre  compte aux citoyens   de  son action  en cours de mandat   sur internet ou en circonscription et de leur permettre de faire des propositions et de donner leur avis  sur les textes préalablement à leur examen par le parlement  . 
i)  d'instituer le référendum révocatoire d'un député et de tous les élus à mi mandat pouvant être demandé par  20% des électeurs inscrits .
Vous remerciant pour la mise en place de cette contribution , je vous prie   d'agréer , Madame , Monsieur , l'expression de mes salutations distinguées .


";"statut des députés";"Le statut des députés et leurs moyens de travail "
"kalinka ";"Madame , Monsieur , 
 Pour ce  qui concerne la retraite des parlementaires et autres élus   , je propose :
a ) pour les députés et autres élus qui ont cumulé des activités et mandats au cours d'une  même période :  de n'intégrer pour le calcul de la retraite qu'un seul des mandats ou  activités équivalents à un temps plein ( donc égal au minimum au Smic et  pour le  poste le  mieux  rémunéré bien évidemment  ) effectués au cours de la même période  et pour les retraités élus actuels  , de procéder à un révision   de leurs pensions  pour leur appliquer aussi  cette  nouvelle règle   . 
b) pour les députés et autres élus de plus de 62 ans avec une carrière complète , de ne pas prendre en compte la rémunération perçue par l'élu  pour le calcul de la pension . Les cotisations versées serviront  à financer une majoration de la retraite pour les   femmes , les diplômés et à augmenter   toutes les  pensions   inférieures ou égales à 2000 euros .
c) Pour le reste , les députés et autres élus doivent être intégrés dans un régime de retraite unique applicable à tous prenant en compte les règles les  plus favorables de tous les régimes actuels .
Vous remerciant pour la mise en place de cette contribution , je vous prie   d'agréer , Madame , Monsieur , l'expression de mes salutations distinguées .
";"retraite des parlementaires et autres élus  ";"Le statut des députés et leurs moyens de travail "
Yannounet;"En cette période de risques d'attentat il faudrait interdire la circulation des véhicules sur la portion de la Rue de l'université comprise entre la Rue de Constantine et la Rue de courty ainsi que la Rue aristide briand entre la Rue de l'université et le quai d'Orsay. L'assemblée est un haut lieu de la démocratie et une attaque dans cette zone n'est pas impossible malheureusement. Il convient de mettre les mêmes moyens de sécurité que pour la' présidence de la république Rue du faubourg St honoré ";"Sécurité ";"Les conditions de travail à l'Assemblée nationale et le statut des collaborateurs parlementaires"
"Yannounet ";"Il n'est pas normal qu'un collaborateur parlementaire qui perd son emploi à l'issue du mandat du député ne dispose pas des mêmes conditions que les salariés du privé. Il faut que leur soit applicable les règles du licenciement économique et non pas celles donnant accès à une moindre indemnisation par pôle emploi.

Il faut créer des Stats annuelles (entrées, sorties) et un bilan en fin de mandat pour connaître le taux de licenciement, transactions , d'émissions.

À quand la mise en place d'un cdi sous tutelle administrative de l'assemblée nationale et un véritable statut pour les collaborateurs parlementaires ? ";"Fin de contrat";"Les conditions de travail à l'Assemblée nationale et le statut des collaborateurs parlementaires"
olive;"Depuis 2009 et jusqu'il y a peu, les assistant-e-s parlementaires de l'Assemblée Nationale utilisaient le système d'exploitation libre Ubuntu pour leurs postes de travail. Au delà de l'aspect économique, les logiciels libres, fruits d'un travail collaboratif mondial, ont participé à la sécurité des données de ce haut lieu de la démocratie.
Il semblerait qu'au fur et à mesure des renouvellements des équipements informatiques, Windows et Outlook, qui dépendent d'éditeurs privés étrangers, aient refait surface.
Seule l'utilisation du logiciel libre, intrinsèquement transparent et donc auditable par tous, peut offrir un niveau de confiance suffisant en préservant contre toute possibilité de manipulation.";"Logiciels libres";"Les conditions de travail à l'Assemblée nationale et le statut des collaborateurs parlementaires"
oliver;"**### CONDITIONS DE TRAVAIL **

Un assistant parlementaire est souvent victime de burn-out, et a des conditions de rémunérations non proportionnelles au temps de travail. Pour cela, il faut :

1. En plus de la rémunération par le député, une rémunération plancher fixée par l'Assemblée nationale 
2. De vraies fiches de paie, avec de vrais pointages, même si la frontière entre vie privée et vie professionnelle est mince pour un collaborateur
3. Un renforcement du statut créé en 2016 et appliqué en 2017 
4. Renforcer le dialogue social entre l'association des députés-employeurs et les représentants des collaborateurs en organisant des réunions trimestrielles

**### FIN DE CONTRAT **

Le métier de collaborateur parlementaire, qui nécessite souvent un haut niveau d'études, et pourtant un des plus précaires. À la fin d'un mandat, c'est la fin du contrat. Étant un contrat de travail, les collaborateurs devraient avoir les mêmes droits que les salariés du privé. Ainsi, il faut :
1. un vrai régime de retraite, prenant en compte notamment la pénibilité du travail 
2. des conditions de licenciements égales à celle d'un salarié du privé 
3. des conditions de retour à l'emploi moins complexes 
";"Contrat des collaborateurs";"Les conditions de travail à l'Assemblée nationale et le statut des collaborateurs parlementaires"
macronisme;"Comment booster les reformes nécessaires de Emmanuel Macron , dont je suis un soutien depuis le premier tour des présidentielles en limitant le temps de double lecture entre l'assemblée et le sénat , dont on sait parfaitement qu'il traînera volontairement les pieds en faisant perdre ce temps précieux pour la France?";navettes;"Les conditions de travail à l'Assemblée nationale et le statut des collaborateurs parlementaires"
