"Type de commission","Date","Heure","À l'initiative de","Ordre(s) du jour"
"DELEG","2025-03-26","15:00","Délégation aux collectivités territoriales et à la décentralisation","audition conjointe de MM. Philippe Laurent, président du Conseil supérieur de la fonction publique territoriale (CSFPT), Yohann Nédélec, président du Centre national de la fonction publique territoriale (CNFPT) et co-président de la commission « fonction publique territoriale » de l’Association des maires de France et présidents d’intercommunalité (AMF), Jean-Marc Frizot, vice-président de la Fédération nationale des centres de gestion (FNCDG) et Thomas FROMENTIN, vice-président d’Intercommunalités de France, de Mme Emmanuelle Rousset, co-présidente de la commission « fonction publique territoriale » de France Urbaine, et de M. Igor Sémo, vice-président de l’Association des petites villes de France (APVF), sur la situation financière et les perspectives de la Caisse nationale de retraites des agents des collectivités locales (CNRACL). "
"COMPER","2025-03-25","21:30","Commission des affaires économiques","suite de l’examen de la proposition de loi portant fin du maintien à vie dans le logement social (n° 905) (M. Stéphane Vojetta rapporteur)."
"MISEVAL","2025-03-27","09:30","Mission d’évaluation de la loi n° 2005-102 du 11 février 2005 pour l’égalité des droits et des chances, la participation et la citoyenneté des personnes handicapées","conseil de l’Europe – Mme Eliane Chemla, ancienne vice-présidente et membre française du Comité européen des droits sociaux."
"MISEVAL","2025-03-27","15:00","Mission d’évaluation de la loi n° 2005-102 du 11 février 2005 pour l’égalité des droits et des chances, la participation et la citoyenneté des personnes handicapées","délégation interministérielle à l’accessibilité (DIA) – Mme Isabelle Saurat, déléguée interministérielle à l’accessibilité, M. Alain Maison, chargé de mission, et Mme Léna Le Houerou, chargée de communication."
"COMPER","2025-03-27","10:00","Commission des affaires culturelles et de l'éducation","dans le cadre de l’enquête sur les modalités du contrôle par l’État et de la prévention des violences dans les établissements scolaires (article 5 ter de l’ordonnance n° 58 1100 du 17 novembre 1958), table ronde de représentants de parents d’élèves, réunissant M. Grégoire Ensel, vice-président de la fédération des conseils de parents d’élèves (FCPE), Mme Marie-Françoise Wittrant, secrétaire générale adjointe de la Fédération des parents d’élèves de l’enseignement public (PEEP), et Mme Hélène Laubignat, présidente du bureau national de l’association des parents d’élèves de l’école libre (Apel)."
"MISINFO","2025-03-25","16:30","Mission d'information sur l'état des cours d'eau","Table ronde « Agences de l’eau »– Agence de l’eau Seine-NormandieM. Luc Pereira Ramos, chef du service « connaissance des milieux aquatiques » – Agence de l’eau Loire-BretagneMme Sandrine Clément, directrice de l’évaluation et de la planification– Agence de l’eau Rhône-Méditerranée-CorseM. Nicolas Chantepy, directeur général adjoint - Agence de l’eau Rhin-MeuseMme Patricia Mauvieux-Thomas, directrice de la connaissance, de la planification, du programme et des politiques d'intervention"
"MISEVAL","2025-03-27","11:30","Mission d’évaluation de la loi n° 2005-102 du 11 février 2005 pour l’égalité des droits et des chances, la participation et la citoyenneté des personnes handicapées","audition conjointe :- hosmoz (réseau Gesat) – Groupement d’établissements et services d’aide par le travail et d’entreprises adaptées – MM. Denis Charrier, directeur général, et Salim Nabti, directeur territorial IDF, la Résidence sociale ;- association nationale des directeurs et cadres des établissements ou services d'aide par le travail (Andicat) – Mmes Nathalie Gyomlai, vice présidente, directrice opérationnelle secteur Travail Apei Moselle, et Axelle Pruvot, directrice exécutive."
"COMPER","2025-03-26","16:30","Commission des affaires culturelles et de l'éducation","dans le cadre de l’enquête sur les modalités du contrôle par l’État et de la prévention des violences dans les établissements scolaires (article 5 ter de l’ordonnance n° 58 1100 du 17 novembre 1958), table ronde réunissant des journalistes : M. Gabriel Blaise, de Sud-Ouest, et MM. David Perrotin et Antton Rouget, de Mediapart."
"GA","2025-04-10","10:00","France-Gambie",""
"MISINFO","2025-05-06","14:00","Mission d'information Politiques d'accompagnement à la parentalité","- Audition, non ouverte à la presse, de Mme Sarah El Haïry, Haute-commissaire à l'Enfance."
"GA","2025-03-25","18:00","France-Iran",""
"MISEVAL","2025-03-26","15:00","Mission d’évaluation du contrôle des investissements étrangers en France","audition de M. Alexis Zajdenweber, commissaire aux participations de l’État, directeur général de l’Agence des participations de l’État (APE)."
"COMPER","2025-03-26","11:00","Commission des finances, de l'économie générale et du contrôle budgétaire","audition de M. François Villeroy de Galhau, gouverneur de la Banque de France, sur la conjoncture économique."
"OFFPAR","2025-06-05","09:00","Office parlementaire d'évaluation des choix scientifiques et technologiques","Examen du rapport sur les protéines et l’alimentation (Philippe Bolo, député, et Arnaud Bazin, sénateur, rapporteurs)Examen de la note scientifique sur les réseaux électriques (Jean-Luc Fugit, député, Daniel Salmon, rapporteurs)"
"API","2025-03-24","00:00","Délégation française à l'Assemblée parlementaire de l'OTAN","Participation de Mme Natalia Pouzyreff, vice-présidente de la délégation française et Mme Hélène Laporte à la visite conjointe de sous-commissions DSCTC et ESCTD de l’AP OTAN du 24 au 25 mars 2025."
